bucket_1d,sensor_id,plan_id,energy_1d,total
2019-07-10T00:00:00Z,1,1,28.6089999999967,39323.976
2019-07-11T00:00:00Z,1,1,8.94700000000012,39352.585
2019-07-12T00:00:00Z,1,1,11.6880000000019,39361.532
2019-07-13T00:00:00Z,1,1,9.92199999999866,39373.22
2019-07-14T00:00:00Z,1,1,12.3830000000016,39383.142
2019-07-15T00:00:00Z,1,1,21.4049999999988,39395.525
2019-07-16T00:00:00Z,1,1,27.4289999999964,39416.93
2019-07-17T00:00:00Z,1,1,26.5460000000021,39444.359
2019-07-18T00:00:00Z,1,1,21.6600000000035,39470.905
2019-07-19T00:00:00Z,1,1,13.3189999999959,39492.565
2019-07-20T00:00:00Z,1,1,25.984000000004,39505.884
2019-07-21T00:00:00Z,1,1,19.4399999999951,39531.868
2019-07-22T00:00:00Z,1,1,25.362000000001,39551.308
2019-07-23T00:00:00Z,1,1,26.3269999999975,39576.671
2019-07-24T00:00:00Z,1,1,25.4329999999973,39603
2019-07-25T00:00:00Z,1,1,24.0319999999992,39628.433
2019-07-26T00:00:00Z,1,1,24.0220000000045,39652.465
2019-07-27T00:00:00Z,1,1,10.2149999999965,39676.487
2019-07-28T00:00:00Z,1,1,6.03399999999965,39686.702
2019-07-29T00:00:00Z,1,1,18.3770000000004,39692.736
2019-07-30T00:00:00Z,1,1,25.0080000000016,39711.113
2019-07-31T00:00:00Z,1,1,18.3969999999972,39736.121
2019-08-01T00:00:00Z,1,1,24.3630000000048,39754.518
2019-08-02T00:00:00Z,1,1,15.9669999999969,39778.881
2019-08-03T00:00:00Z,1,1,11.747000000003,39794.848
2019-08-04T00:00:00Z,1,1,25.0449999999983,39806.595
2019-08-05T00:00:00Z,1,1,11.6520000000019,39831.64
2019-08-06T00:00:00Z,1,1,9.69399999999587,39843.292
2019-08-07T00:00:00Z,1,1,8.10800000000017,39852.986
2019-08-08T00:00:00Z,1,1,19.9780000000028,39861.094
2019-08-09T00:00:00Z,1,1,16.5919999999969,39881.072
2019-08-10T00:00:00Z,1,1,12.5420000000013,39897.664
2019-08-11T00:00:00Z,1,1,20.7330000000002,39910.206
2019-08-12T00:00:00Z,1,1,17.596000000005,39930.939
2019-08-13T00:00:00Z,1,1,23.1039999999994,39948.535
2019-08-14T00:00:00Z,1,1,18.3629999999976,39971.639
2019-08-15T00:00:00Z,1,1,10.635000000002,39990.002
2019-08-16T00:00:00Z,1,1,21.9439999999959,40000.637
2019-08-17T00:00:00Z,1,1,7.70500000000175,40022.581
2019-08-18T00:00:00Z,1,1,23.1039999999994,40030.286
2019-08-19T00:00:00Z,1,1,20.400999999998,40053.39
2019-08-20T00:00:00Z,1,1,7.01000000000204,40073.791
2019-08-21T00:00:00Z,1,1,21.3499999999985,40080.801
2019-08-22T00:00:00Z,1,1,23.086000000003,40102.151
2019-08-23T00:00:00Z,1,1,22.6319999999978,40125.237
2019-08-24T00:00:00Z,1,1,21.9330000000045,40147.869
2019-08-25T00:00:00Z,1,1,19.9759999999951,40169.802
2019-08-26T00:00:00Z,1,1,20.0040000000008,40189.778
2019-08-27T00:00:00Z,1,1,19.2030000000013,40209.782
2019-08-28T00:00:00Z,1,1,17.851999999999,40228.985
2019-08-29T00:00:00Z,1,1,19.1699999999983,40246.837
2019-08-30T00:00:00Z,1,1,19.4599999999991,40266.007
2019-08-31T00:00:00Z,1,1,19.7510000000038,40285.467
2019-09-01T00:00:00Z,1,1,17.1100000000006,40305.218
2019-09-02T00:00:00Z,1,1,20.4510000000009,40322.329
2019-09-03T00:00:00Z,1,1,20.6219999999958,40342.781
2019-09-04T00:00:00Z,1,1,20.323000000004,40363.403
2019-09-05T00:00:00Z,1,1,10.3709999999992,40383.726
2019-09-06T00:00:00Z,1,1,17.275999999998,40394.097
2019-09-07T00:00:00Z,1,1,6.46399999999994,40411.373
2019-09-08T00:00:00Z,1,1,7.07600000000093,40417.837
2019-09-09T00:00:00Z,1,1,7.86899999999878,40424.913
2019-09-10T00:00:00Z,1,1,19.0139999999956,40432.783
2019-09-11T00:00:00Z,1,1,19.4720000000016,40451.797
2019-09-12T00:00:00Z,1,1,9.50200000000041,40471.269
2019-09-13T00:00:00Z,1,1,14.2669999999998,40480.771
2019-09-14T00:00:00Z,1,1,16.6160000000018,40495.038
2019-09-15T00:00:00Z,1,1,17.9419999999955,40511.654
2019-09-16T00:00:00Z,1,1,15.0250000000015,40529.596
2019-09-17T00:00:00Z,1,1,12.2710000000006,40544.621
2019-09-18T00:00:00Z,1,1,18.5330000000031,40556.892
2019-09-19T00:00:00Z,1,1,17.5529999999999,40575.425
2019-09-20T00:00:00Z,1,1,15.8679999999949,40592.978
2019-09-21T00:00:00Z,1,1,17.5619999999981,40608.847
2019-09-22T00:00:00Z,1,1,14.872000000003,40626.409
2019-09-23T00:00:00Z,1,1,6.09799999999814,40641.281
2019-09-24T00:00:00Z,1,1,12.1889999999985,40647.379
2019-09-25T00:00:00Z,1,1,9.33299999999872,40659.568
2019-09-26T00:00:00Z,1,1,4.5260000000053,40668.901
2019-09-27T00:00:00Z,1,1,2.62099999999918,40673.427
2019-09-28T00:00:00Z,1,1,8.72299999999814,40676.048
2019-09-29T00:00:00Z,1,1,11.9780000000028,40684.771
2019-09-30T00:00:00Z,1,1,12.3299999999945,40696.749
2019-10-01T00:00:00Z,1,1,4.875,40709.079
2019-10-02T00:00:00Z,1,1,5.17000000000553,40713.954
2019-10-03T00:00:00Z,1,1,13.3789999999935,40719.124
2019-10-04T00:00:00Z,1,1,2.92700000000332,40732.503
2019-10-05T00:00:00Z,1,1,6.66700000000128,40735.43
2019-10-06T00:00:00Z,1,1,1.90799999999581,40742.097
2019-10-07T00:00:00Z,1,1,5.40899999999965,40744.005
2019-10-08T00:00:00Z,1,1,1.80000000000291,40749.414
2019-10-09T00:00:00Z,1,1,5.90499999999884,40751.214
2019-10-10T00:00:00Z,1,1,9.09799999999814,40757.119
2019-10-11T00:00:00Z,1,1,6.54000000000087,40766.217
2019-10-12T00:00:00Z,1,1,12.7380000000048,40772.757
